title,abstract,keywords,year,journal_title,license,link,query
Baltic Sea Coastal Eutrophication in a Thousand Year Perspective,"Sediment cores from three sites along the east-coast of Sweden, north-western Baltic Proper, have been studied with respect to lithologies, geochemistry, and diatom assemblages to trace and date early human impact with emphasis on nutrient discharge. The three sites Bråviken, Himmerfjärden, and Ådfjärden, have been impacted to various degree during the last millennia by multiple stressors like excessive nutrient discharge and hazardous substances, leading to coastal hypoxia, eutrophication, and pollution. These stressors are mainly caused by drivers in the drainage area as increased human population, changed land use, and point sources as industries and a sewage treatment plant. Even though their detailed history differs, the results show similar general patterns for all three sites. We find no evidence in our data from the coastal zone supporting the hypothesis that the extensive areal distribution of hypoxia in the open Baltic Sea during the Medieval Climate Anomaly was caused by human impact. Timing of the onset of man-made eutrophication, as identified from δ15N and changes in diatom composition, differs between the three sites, reflecting the site specific geography and local environmental histories of these areas. The onset of eutrophication dates to ~1800 CE in Bråviken and Himmerfjärden areas, and to ~1900 CE in the less urban area of Ådfjärden. We conclude that the recorded environmental changes during the last centuries are unique in a thousand year perspective.","diatom stratigraphy, stable nitrogen isotopes, hypoxia, Medieval Climate Anomaly, NW Baltic proper, nutrient discharge",2019,Frontiers in Environmental Science,,https://www.frontiersin.org/article/10.3389/fenvs.2019.00088/full,early medieval history
"Early pastoral economies along the Ancient Silk Road: Biomolecular evidence from the Alay Valley, Kyrgyzstan.","The Silk Road was an important trade route that channeled trade goods, people, plants, animals, and ideas across the continental interior of Eurasia, fueling biotic exchange and key social developments across the Old World. Nestled between the Pamir and Alay ranges at a baseline elevation of nearly 3000m, Kyrgyzstan's high Alay Valley forms a wide geographic corridor that comprised one of the primary channels of the ancient Silk Road. Recent archaeological survey reveals a millennia-long history of pastoral occupation of Alay from the early Bronze Age through the Medieval period, and a stratified Holocene sequence at the site of Chegirtke Cave. Faunal remains were recovered from test excavations as well as surface collection of material from recent marmot activity. Although recovered specimens were highly fragmented and mostly unidentifiable using traditional zooarchaeological methods, species identification via collagen mass fingerprinting (ZooMS) coupled with sex and first-generation hybrid identification through ancient DNA enabled preliminary characterization of the animal economy of Alay herders. Our new results indicate primary reliance on sheep at Chegirtke Cave (ca. 2200 BCE), with cattle and goat also present. The discovery of a large grinding stone at a spatially associated Bronze or Iron Age habitation structure suggests a mixed agropastoral economic strategy, rather than a unique reliance on domestic animals. Radiocarbon-dated faunal assemblages from habitation structures at nearby localities in the Alay Valley demonstrate the presence of domestic horse, as well as Bactrian camel during later periods. The current study reveals that agropastoral occupation of the high-mountain Alay corridor started millennia before the formal establishment of the Silk Road, and posits that ZooMS, when paired with radiocarbon dates and ancient DNA, is a powerful and cost-effective tool for investigating shifts in the use of animal domesticates in early pastoral economies.",early medieval history,2018,PLoS ONE,,http://europepmc.org/articles/PMC6209189?pdf=render,early medieval history
The figure of the impostor to the throne in Russian political culture: Between sacralization and mimesis,"Proceeding from materials relating to the “Time of Troubles”, this article examines the phenomenon of imposture (samozvanchestvo) as one of the symbols of Russian political history from the early 17th to the mid-19th century. The duration of the “impostor epidemic” coincides exactly with that of serfdom, and imposture itself can be described as a social reaction to a form of authority founded on total personal dependence. The article aims to develop further Boris Uspenskij’s argument that reveals in sacralization of the Tsar’s power in medieval Russia the main reason of imposture. René Girard’s conception of mimetic desire serves as the theoretical perspective for such a development.","imposture, autocracy, power, mimetic desire, Time of Troubles, Russian politics",2017,Sign Systems Studies,,https://ojs.utlib.ee/index.php/sss/article/view/15958,early medieval history
Brain Tuberculosis: An Odyssey through Time to Understand This Pathology,"Tuberculosis is a contagious disease that has been a concern for humanity throughout history, being recognized and referred to as the white plague. Since ancient times, starting with Hippocrates and Galen of Pergamon, doctors and scientists have attempted to understand the pathogenesis of tuberculosis and its manifestations in the brain. If, in the medieval period, it was believed that only the touch of a king could cure the disease, it was only in the early 17th and 18th centuries that the first descriptions of tuberculous meningitis and the first clinico-pathological correlations began to emerge. While the understanding of neurotuberculosis progressed slowly, it was only after the discovery of the pathogenic agent in the late 19th century that there was an upward curve in the occurrence of treatment methods. This review aims to embark on an odyssey through the centuries, from ancient Egypt to the modern era, and explore the key moments that have contributed to the emergence of a new era of hope in the history of neurotuberculosis. Understanding the history of treatment methods against this disease, from empirical and primitive ones to the emergence of new drugs used in multi-drug-resistant tuberculosis, leads us, once again, to realize the significant contribution of science and medicine in treating a disease that was considered incurable not long ago.","neurotuberculosis, meningitis, CNS tuberculosis, brain tuberculosis, tubercle bacillus",2023,Pathogens,,https://www.mdpi.com/2076-0817/12/8/1026,early medieval history
The state of Khorezmshahs in the history of the Caucasus in the first half of the 13th century,"Introduction. The first half of the XIII century was marked in the history of the peoples of Central Asia, the Near and Middle East and the Caucasus by turbulent events associated with the Mongol invasion, which changed the military, political, economic and cultural development of these regions for many centuries. Materials and Methods. This research was conducted on the basis of a broad interdisciplinary approach and generally accepted historical methods. For the first time In Russian Caucasian studies, a comprehensive study was conducted based on the analysis of medieval Arabic, Georgian, Azerbaijani and Derbent sources. Analysis. One of the most powerful states, among the first to fall under the blows of the Mongols, was the power of the Khorezmshahs. Having conquered China and preparing his expansion to the West, Genghis Khan was very wary of this largest state of the Muslim East, which could field about 400-500 thousand welltrained and well–armed warriors capable of inflicting a decisive defeat, significantly inferior in numbers, to the Mongol troops. The grossest militarypolitical and strategic mistakes of the last ruling ruler of the Khorezmshah state, Ala alDin Muhammad, who placed his huge army in isolation in separate large cities, thereby condemning his troops to defeat and the state to destruction. In just 4 months, the Mongols captured and looted the main military, political, economic and cultural centers of the Khorezmshah state. Jalal al-Din Mankburny, becoming the last ruler of the Khorezmshakh state, tried to regain his father’s former power in the Middle East and the Caucasus and in the 20s – early 30s of the XIII century played a significant role in the historical destinies of the peoples of these regions. For more than 10 years, pursuing an expansive policy and continuously participating in wars, Jalal al-Din in the 20s of the XIII century turned out to be the only really military, military-administrative and political figure capable of resisting the Mongol invasion of the Middle East and the Caucasus regions.Results. Jalal al-Din understood that the weakened states of the Caucasus and the Middle East alone were not able to repel the Mongol forces, which forced the last Khorezm Shah to make efforts to unite the Caucasian and Middle Eastern rulers to repel the Mongol invasion, but he failed to achieve this.","khorezmshakh state, mongol invasion, jalal al-din, caucasus, georgia, azerbaijan",2024,Гуманитарные и юридические исследования,,https://humanitieslaw.ncfu.ru/jour/article/view/1448,early medieval history
The case for post-scholasticism as an internal period indicator in Medieval philosophy,"This article responds to a critical research challenge in Medieval philosophy scholarship regarding the internal periodisation of the register. By arguing the case for ‘post-scholasticism’ as an internal period indicator (1349–1464, the era between the deaths of William of Ockham and Nicholas of Cusa), defined as ‘the transformation of high scholasticism on the basis of a selective departure thereof’, the article specifies a predisposition in the majority of introductions to and commentaries in Medieval philosophy to proceed straight from 1349 to 1464, understating 115 years of pertinent Medieval philosophical discourse. It is argued that in the modern account of Medieval philosophy, this understatement is manifested in either a predating of Renaissance philosophy to close the gap between 1349 and 1464 as far as possible or in proceeding straight from 1349 to Renaissance philosophy. The article presents five unique philosophical themes from this delicate period, indicating that ‘post-scholasticism’ was indeed a productive period in late Medieval philosophy, which should not be bypassed as an inconsequential entrance to Renaissance philosophy. The period 1349–1464 should accordingly be appreciated for its idiosyncratic contributions to the history of ideas in the late-14th and early-15th centuries, with reference to the political intensification of the via moderna, the pivotal separation of philosophy and theology and the resulting independence of the natural sciences, in res critique of institutions, transforming pragmatics and the rise of philosophical materialism. Contribution: This article contributes to methodological development in Medieval philosophy by responding to a critical research challenge regarding the internal periodisation of the later Middle Ages. Arguing the case for ‘post-scholasticism’ as an internal period indicator (1349 to 1464 in Medieval philosophy, the article presents unique philosophical themes from the period, indicating that it was a productive stage in late Medieval philosophy which should not be bypassed as an inconsequential entrance to Renaissance philosophy.","internal periodisation of medieval philosophy, late medieval philosophy, neo-scholasticism, orientalism in medieval philosophy, oxford calculators, the problem of the ‘canon’ in medieval philosophy, post-scholasticism, renaissance philosophy",2021,HTS Teologiese Studies/Theological Studies,,https://hts.org.za/index.php/hts/article/view/6270,early medieval history
Study of Grapevine (Vitis vinifera L.) Seed Morphometry and Comparison with Archaeological Remains in Central Apennines,"Studying the evolution of seed morphology and, in turn, the evolution of cultivars across time and space is of fundamental importance to agriculture and archaeology. The identification of ancient and modern grapevine (Vitis vinifera L.) cultivars is essential for understanding the historical evolution of grape cultivation. Grape seed morphology provides valuable information to explore the evolution of grape cultivars over time and space. The main aim of our study was to build a comprehensive regional database of grape seed morphological traits from modern and archaeological wine cultivars and wild grape species. We aimed to identify which seeds of modern grape cultivars exhibited morphological similarities to archaeological cultivars. This study focused on fifteen distinct modern types of seeds and two archaeological samples from the Byzantine-to-Early Medieval period. We acquired digital images of seeds using a flatbed scanner. For each sample, 100 seeds were randomly selected, and morphometric data on each seed were gathered using ImageJ. Differences among the seed cultivars were investigated using linear discriminant analysis. Archaeological seeds were found to be more similar to cultivated V. vinifera cultivars rather than V. sylvestris populations. Among the cultivated cultivars, Sangiovese and Tosta antica resulted to be cultivars most similar cultivars to the archaeological ones. The morphometric analysis of grape seeds proved to be a valuable resource for investigating the evolution of vine cultivars throughout history. Combining image analysis techniques with genetic data will open new perspectives for studying the origins of and variations in grape cultivars, contributing to the conservation and enhancement of viticultural heritage.","seed morphology, seed image analysis, grapevine, archaeological grape pips, Vitis sylvestris",2024,Seeds,,https://www.mdpi.com/2674-1024/3/3/23,early medieval history
Prisoners of War in Early Medieval Bulgaria (Preliminary Remarks),"The work is concentrated on the problem of war prisoners in the chronological period of the existance of the so-called First Bulgarian state. The analysis is based predominantly on various Byzantine and selected Latin and Bulgarian sources from the epoch. With some exceptions, mostly for 707/708, 754/755, 763/764 and 774, the notices are concentrated around the events of 811–815/816, 837/838; 894–896, 917–30s and for a moment or two from the period of 971–1018. In his preliminary remarks the author comes to the conclusion that in the Early Middle Ages prisoners of war (in the broadest medieval sense) were an integral part of the efforts to achieve the political objectives of the Bulgarian rulers. Response mechanisms against prisoners of war were highly dependent on the course of the conflict and their attitude towards their own warriors and subjects caught up in enemy hands. They included a wide range of solutions, which could be grouped into three main areas: the first one refers to killing (and/or mutilation) of war prisoners; the second main line was connected with preserving the lives of the captives; the third group of measures was due to the fact that an immediate effect is not always haunted.","prisoners of war, captives, the First Bulgarian state, Byzantine-Bulgarian relationships, early medieval history, peace/war studies",2015,Studia Ceranea,,https://czasopisma.uni.lodz.pl/sceranea/article/view/5360,early medieval history
FROM SAXO GRAMMATICUS TO PETER FRIEDRICH SUHM. Danish views on medieval Estonian history,"A line of early Danish historians, who wrote on Medieval Estonia in relation to Denmark, is presented. Each authorâs social background and the date of their contribution stand out through their sympathies and antipathies. Likewise, every author also had a Danish bias. German views were challenged, whereas Estonian views never mattered to these Danish authors. To them, the Estonians only played the part of silent extras on the historical stage; first as barbarous enemies, then as faithful subjects or allies and finally as victims. The most attractive theme to the Danish historians is the dramatic conquest in 1219, and its royal or clerical front figures, and the legends of a divine origin of Dannebrog â the national flag. The latter has been the single most popular subject, taking precedence over everything else.The history of Danish-Estonian active political and diplomatic relations until 1346, let alone until 1645, has been a mere niche in Danish history writing. It is possible to follow the different roles of the Danish historians in a changing political and ideological context and to view their position towards topical subjects such as justification of conquest, the means of Christianisation, colonialism and the genesis of medieval polities or states. Historiographic studies such as the present enable to understand the long and winding road towards establishing a concord on the simple course of events and critically question the written evidence, let alone the aristocratic and clerical traditions. ResÃ¼mee. Eesti-Taani keskaegsete suhete siiani domineeriv narratiiv toetub suures osas baltisaksa ajalookirjutusele. See on paratamatult vaade ajaloole lÃ¤bi kohalike sakslaste silmade. Samas on probleemistikul ka Taani-poolne vaatenurk, mille hinnangulised aktsendid erinevad baltlaste omadest oluliselt. NÃ¼Ã¼disaegse ajalooÂ­teadusliku sÃ¼nteesi tasandil pole need kaks historiograafiat kokku saanud. Artiklis on analÃ¼Ã¼situd taani ajalookirjutuse probleemiasetusi alates Saxo Grammaticusest kuni Peter Friedrich Suhmi 1808. aastal postuumselt ilmunud Taani ajaloo Ã¼ldÂ­kÃ¤sitluseni. Seda perioodi taani historiograafias vÃµib tinglikult nimetada annalistlikuks vÃµi siis kriitilise ajalooteaduse eelseks ajajÃ¤rguks. Kuid samas on selle vÃ¤Ã¤rÂ­tuseks just nimelt ehedus ja kitsalt Taani-keskne vaatenurk. Mitmete Eesti keskÂ­aja ajaloo justkui ammuilma selgeks rÃ¤Ã¤gitud probleemide puhul on ilmselt vajalik taanlaste arvamusega tÃµsiselt arvestada vÃµi vÃ¤hemalt kontrollida nende paikapidaÂ­vust, kÃµrvutades seisukohti meil kÃ¤ibel oleva historiograafilise pÃ¤randiga.",early medieval history,2007,Acta Historica Tallinnensia,,https://kirj.ee/wp-content/plugins/kirj/pub/acta-2007-3-29_20230310162736.pdf,early medieval history
A Comparative Analysis of Literal and Semantic Mongolian Translations (evidence from translations of “The Sutra of the Wise and the Fool” performed by Širegetü-guši-čorǰi and Toyin-guši),"The article discusses the issues relating to the history of medieval Mongolian literature the basis of which was laid in translated written texts. The author performs a textual analysis of two Mongolian translations of the well-known Buddhist literary monument - “The Sutra of the Wise and the Fool” (Tib. ‘dzangs blun zhes-bya-ba theg-pa chen-po’i mdo). The translators of these texts are the famous Mongolian writers of the 17th-18th centuries - Širegetü-guši-čorǰi (the late 16th-early 17th cc.) and Toyin-guši (the early 17th c.). The translation of the sutra made by Širegetü-guši-čorǰi and known under the name “Silaγun onoltu” (“[The Sutra bestowing] the fastest acquisition of knowledge”) is most often mentioned in literature. The second translation - the one performed by Toyin-guši - is almost unknown to the general scholarly public. Its transliterated text was published by Ts. Šagdarsüren in 1989 in Budapest. In the preface, the Mongolian scholar expresses V. Heissig’s hypothesis according to which both the translations could have been made by the same translator. However, Šagdarsüren considers that the similarities could be caused by the rules of alliteration and the principles of Dandin’s composition on poetic theory - Kāvyādarša or “Mirror of poetry” (Mong. ǰokistu ayalγun-u toli) - medieval writers adhered to. The author of the article shares the opinion established in the Mongolian studies community according to which Širegetü-guši-čorǰi followed the principles of semantic translation (from Tibetan into Mongolian) and Toyin-guši adhered to the principles of literal translation. It is concluded that both the translators are distinguished erudites with perfect expertise in Buddhist dogmatic literature and Tibetan. The last mentioned was important for understanding of the Tibetan original text and its adequate translation into the native language. The language expertise of both the translators is approximately identical since they lived and worked at approximately the same period. The results of the analysis reveal prospects for further typological research of the history of origins and development of Buddhist literature among Mongolian peoples.","buddhism, priests, translations, canonical literature, the sutra of the wise and the fool, širegetü-guši-čorǰi, toyin-guši, comparative analysis",2018,Oriental Studies,,https://kigiran.elpub.ru/jour/article/view/142,early medieval history
