keyword,title,creator,abstract,year,subject,publisher,id
ayyubid,"Remains from the Early Roman to the Crusader/Ayyubid Periods at Horbat Borin &nbsp;(Hebrew, pp. 1*&ndash;16*; English summary, p. 155)",‘Abed a-Salam Sa‘id,,2011,,,
ayyubid,"Butchers&rsquo; Waste: Zooarchaeological Analysis of a Crusader/Ayyubid Bone Deposit from Jerusalem Street, Safed (Zefat) &nbsp;(pp. 99*&ndash;109*)",Guy Bar-Oz and Noa Raban-Gerstel,,2015,,,
ayyubid,Ayyubid and Mamluk Pottery from a Crusader-period Subterranean Reservoir at Moza (pp. 193&ndash;204),Benjamin J. Dolinka,,2018,,,
ayyubid,"Crusader, Ayyubid and Mamluk-Period Remains from Tiberias &nbsp;(pp. 183&ndash;208)",Edna J. Stern,,2013,,,
ayyubid,The Term “Zawāwa” in the Medieval Sources and the Zawāwī Presence in Egypt and Syria during the Ayyubid and Mamluk Periods,"Baadj, Amr S.",,2015,,,
fall of rome,La Caída de Roma: imaginación apocalíptica e ideologías de poder en la tradición cristiana antigua (siglos II al V),"Fuentes Hinojo, Pablo","This article studies the problems related to the actitudes of the Christians Churchs towards the Roman power, throught apocaliptic imagines gathered in literary texts from the second to fith centuries, and the alternative ideologies of power that they reflect.",2009,,,
theoderic,Two Amali Peregrinations to the Kingdom of Visigoths: How Theoderic the Great and Eutharic Legitimised Their Authority over the ‘United’ Goths,"Kasperski, Robert (1981- ); Kasperski, Robert (1981- )",p. 5-15,2012,,,
romanitas,El Cristianismo en la metáfora del rechazo y la integración,"Alvar, Jaime","[ES] En este artículo se analizan los documentos procedentes de la literatura neotestamentaria que permiten descubrir los mecanismos de integración social, así como del rechazo real y metafórico que suscita el cristianismo desde sus orígenes hasta el triunfo de la Iglesia. La extirpación de los primeros seguidores de su entorno social constituye un ejemplo referencial en la tensión desintegradora que, a la postre, habría de convertirse en una formulación retórica para el éxito del discurso cristiano en el marco ideológico del poder imperial refundado tras la Tretarquía. Al mismo tiempo, se analiza la función excluyente del cristianismo frente al judaísmo en el que nace y su posterior capacidad de integración social de los judíos de la diáspora, cuando el cristianismo se había reconvertido en romanitas.",2008,,,
romanitas,Romanitas versus Feritas: the condition of the Gauls in the stories of Tacitus,"González-Conde Puente, Mª Pilar",,2004,,,
romanitas,Romanitas uersus feritas the condition of the Galos in the Stories of Tacitus,Pilar González -Count; Pilar González-Conde; Pilar González-Conde,Pilar González -Count,2002,,,
