keyword,title,creator,abstract,date,subject,publisher,id
carolingien,"Le cimetière mérovingien et carolingien de Manneville-sur-Risle (Eure) / par J. Leroy,...","Leroy, J. Auteur du texte",Avec mode texte,1911,Manneville-sur-Risle,impr. Monnoyer (Le Mans),https://gallica.bnf.fr/ark:/12148/bpt6k325862r
carolingien,"Le psautier carolingien du Président Bouhier (Montpellier, Univ. H. 409) / par Ph. Laueur","Lauer, Philippe (1874-1953). Auteur du texte",Avec mode texte,1925,,E. Champion (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k875818j
carolingien,"Monnaies françaises carolingiennes, capétiennes, Révolution et Empire, 1815 à nos jours, collection Barbier : dont la vente aux enchères aux enchères publiques aura lieu à Paris Hôtel Drouot, salle n°8 les lundi 4, mardi 5 et mercredi 6 mai 1936 / Me Engelmann, Commissaire-Priseur ; M. Alfred Page, expert",,"[Vente. Art. 1936-05-04 - 1936-05-06. Paris, Hôtel DrouotParis]",1936,Numismatique,Engelmann (Paris),https://gallica.bnf.fr/ark:/12148/bd6t5382350q
carolingien,"Les monnaies royales de France sous la race carolingienne. [précédé de] Chartes et ordonnances de l'époque carolingienne relatives aux monnaies. Partie 2 / par E. Gariel,... ; par M. A. de Barthélemy","Gariel, Ernest (1825-1884). Auteur du texte; Barthélemy, M. A. de. Auteur du texte",Comprend : Chartes et ordonnances de l'époque carolingienne relatives aux monnaies / par M. A. de Barthélemy,1883-1884,Monnaies carolingiennes,impr. de G. Fischbach (Strasbourg),https://gallica.bnf.fr/ark:/12148/bpt6k9659574g
carolingien,"Monnaies Françaises : 26-29 avril 1926. Gauloises, mérovingiennes, carolingiennes et capétiennes jusqu'à Charles VIII.Collection Paul Bordeaux (1re partie) / Jean Marlio, commissaire-priseur ; MM. Feuardent frères, experts",,"Vendeur : Marlio, Jean (Commissaire-Priseur). Vendeur",1926,Numismatique,Jean Marlio (Paris),https://gallica.bnf.fr/ark:/12148/bd6t5381371h
carolingien,"L'Europe et le Saint-Siège à l'époque carolingienne / par A. Lapôtre,...","Lapôtre, Arthur (1844-1927). Auteur du texte",Appartient à l’ensemble documentaire : CentSev001,1895,,A. Picard et fils (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k432040f
carolingien,L'Église carolingienne de Saint-Denis : essai de reconstitution / par Léon Levillain,"Levillain, Léon (1870-1952). Auteur du texte",Avec mode texte,1908,Saint-Denis,H. Delesques (Caen),https://gallica.bnf.fr/ark:/12148/bpt6k5324069h
carolingien,"Le royaume de Provence sous les Carolingiens : à propos d'un livre récent [de René Poupardin] / par Paul Fournier,...","Fournier, Paul (1853-1935). Auteur du texte",Appartient à l’ensemble documentaire : PACA1,1902,,E. Privat (Toulouse),https://gallica.bnf.fr/ark:/12148/bpt6k66685h
carolingien,"Annales de l'histoire de France à l'époque carolingienne. , Robert Ier et Raoul de Bourgogne, rois de France (923-936) : thèse pour le doctorat présentée à la Faculté des lettres de Paris / par Ph. Lauer","Lauer, Philippe (1874-1953). Auteur du texte",Avec mode texte,1910,France -- 922-936 (Robert I et Raoul),H. Champion (Paris),https://gallica.bnf.fr/ark:/12148/bd6t59225237
carolingien,"Le capitulaire de Kiersy-sur-Oise (877) : étude sur l'état et le régime politique de la société carolingienne à la fin du IXe siècle, d'après la législation de Charles le Chauve / par Émile Bourgeois,...","Bourgeois, Émile (1857-1934). Auteur du texte",Appartient à l’ensemble documentaire : Picardi1,1885,Civilisation -- Empire carolingien; Politique et gouvernement -- France -- Jusqu'à 987,Hachette (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k204250t
