keyword,title,creator,abstract,date,subject,publisher,id
mérovingien,"Le cimetière mérovingien et carolingien de Manneville-sur-Risle (Eure) / par J. Leroy,...","Leroy, J. Auteur du texte",Avec mode texte,1911,Manneville-sur-Risle,impr. Monnoyer (Le Mans),https://gallica.bnf.fr/ark:/12148/bpt6k325862r
mérovingien,"Note sur des pièces de monnaie mérovingiennes intéressant le Poitou / par M. Th. Ducrocq,...","Ducrocq, Théophile (1829-1913). Auteur du texte",Appartient à l’ensemble documentaire : PoitouCh1,1890,,"impr. de Blais, Roy (Poitiers)",https://gallica.bnf.fr/ark:/12148/bpt6k667028
mérovingien,Les ateliers monétaires mérovingiens / [signé : Maurice Prou],"Prou, Maurice (1861-1930). Auteur du texte",,1888,Ateliers monétaires,[s.n.],https://gallica.bnf.fr/ark:/12148/bpt6k67489k
mérovingien,"Note sur les monnaies mérovingiennes indéterminées, à propos d'une pièce nouvelle / [par Charles Farcinet]","Farcinet, Charles (1824-1903). Auteur du texte",Appartient à l’ensemble documentaire : Bourgogn1,1880-1910,,impr. de Protat frères (Mâcon),https://gallica.bnf.fr/ark:/12148/bpt6k66934f
mérovingien,Monnaies barbares d'argent trouvées dans le cimetière mérovingien d'Herpes / [signé Maurice Prou],"Prou, Maurice. Auteur du texte",,1891,,C. Rollin et Feuardent (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k674976
mérovingien,"Coup d'oeil sur l'unité d'origine des trois branches mérovingiennes, carliennes et capétiennes","Drudes de Campagnolles, Alexandre. Auteur du texte",Avec mode texte,1816,France,Adam (Vire),https://gallica.bnf.fr/ark:/12148/bpt6k5535253d
mérovingien,"Second coup d'oeil sur l'unité d'origine des trois branches mérovingiennes, carliennes et capétiennes","Drudes de Campagnolles, Alexandre. Auteur du texte",Avec mode texte,1817,,Adam (Vire),https://gallica.bnf.fr/ark:/12148/bpt6k55430415
mérovingien,Note sur quelques antiquités mérovingiennes : conservées au musée de Beauvais / par M. Danjou,"Danjou, Pierre-Nicolas (1795-1878). Auteur du texte",Appartient à l’ensemble documentaire : Picardi1,1856,Beauvais (France),Impr. de A. Desjardins (Beauvais),https://gallica.bnf.fr/ark:/12148/bpt6k6524886g
mérovingien,"Note sur un tiers de sou d'or (triens mérovingien) trouvé en Vendée et frappé à Basniacum... : mélanges de numismatique et d'histoire / par Charles Farcinet,...","Farcinet, Charles (1824-1903). Auteur du texte",,1897,,R. Serrure (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k669333
mérovingien,"Monnaies mérovingiennes frappées dans le palais et dans l'école, par M. de Ponton d'Amécourt. Lettre à M. Anatole de Barthélemy","Ponton d'Amécourt, Gustave de (1825-1888). Auteur du texte",Avec mode texte,1862,,,https://gallica.bnf.fr/ark:/12148/bpt6k6462099k
mérovingien,"Cimetière mérovingien d'Andrésy (S.-et-O.) : notice / par Lucien Cosserat,...","Cosserat, Lucien. Auteur du texte",Avec mode texte,1891,Andrésy (Yvelines),Librairies-imprimeries réunies (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k54009803
mérovingien,"Les Origines de Gaillac, le cimetière mérovingien du Gravas, par M. Alfred Caraven-Cachin,... (Nouvelles découvertes d'objets antiques.)","Caraven-Cachin, Alfred (1839-1903). Auteur du texte",Avec mode texte,1891,Gaillac,(Gaillac),https://gallica.bnf.fr/ark:/12148/bpt6k313776h
mérovingien,"Antiquités. Terres cuites de Myrina, verrerie et poterie, bijoux mérovingiens, étoffes byzantines. vente... 25 mars [1887]...",,[Vente (Art). 1887-03-25. Paris],1887,,Hoffmann (Paris),https://gallica.bnf.fr/ark:/12148/bpt6k70507948
mérovingien,"Le cimetière franco-mérovingien de Nesles-lez-Verlincthum : canton de Samer, arrondissement de Boulogne-sur-Mer : 3e rapport annuel / par V.-J. Vaillant","Vaillant, Victor-Jules (1824-1904). Auteur du texte",Avec mode texte,1887,Nesles-lez-Verlincthum (Pas-de-Calais); Nesles (Pas-de-Calais),(Arras),https://gallica.bnf.fr/ark:/12148/bpt6k313629m
mérovingien,Catalogue des monnaies mérovingiennes d'Autun / par Maurice Prou,"Prou, Maurice (1861-1930). Auteur du texte",Appartient à l’ensemble documentaire : Bourgogn1,1888,"Monnaies mérovingiennes -- Autun (Saône-et-Loire, France)",impr. de Dejussieu père et fils (Autun),https://gallica.bnf.fr/ark:/12148/bpt6k67490s
mérovingien,"Les Mérovingiens en Savoie : 534-751 / Jean-Pierre Leguay,... ; [ill. par Daniel Venjean]","Leguay, Jean-Pierre (1938-2013). Auteur du texte",Collection : Mémoires et documents de l'Académie de la Val d'Isère. Nouvelle série ; 22,1992,Francs -- Savoie; Antiquités mérovingiennes -- Savoie; Savoie -- 534-888 (Période franque); Royaume des Francs -- 476-687 (Mérovingiens),(Fontaine-le-Puits),https://gallica.bnf.fr/ark:/12148/bpt6k9799160d
mérovingien,Monnaies mérovingiennes / [signé : Maurice Prou],"Prou, Maurice (1861-1930). Auteur du texte",,1889,,[s.n.],https://gallica.bnf.fr/ark:/12148/bpt6k67493t
mérovingien,"Répertoire archéologique pour le département de Meurthe-et-Moselle : époques préhistoriques, gallo-romaines, mérovingiennes / par le Cte J. Beaupré,...","Beaupré, Jules (1859-1921). Auteur du texte",Appartient à l’ensemble documentaire : Lorr1,1897,Meurthe-et-Moselle (France),(Nancy),https://gallica.bnf.fr/ark:/12148/bpt6k9618384r
mérovingien,"Monnaies Mérovingiennes et Anglo-Saxonnes : 1891 / Raymond Serrure, expert",,[Vente. Art. 1891-00-00. Paris],1891,Numismatique -- Catalogues de vente,Raymond Serrure (Paris),https://gallica.bnf.fr/ark:/12148/bd6t5373775k
mérovingien,"Etudes sur la civilisation française. La société mérovingienne / par A. Marignan,...","Marignan, Albert (1858-1936). Auteur du texte",Contient une table des matières,1899,,(Paris),https://gallica.bnf.fr/ark:/12148/bpt6k57014612
