title,authors,publisher,publishedDate,description,pageCount,categories,language,isbn,source_query
"Egypt and Syria in the Fatimid, Ayyubid and Mamluk Eras III Proceedings of the 6th, 7th and 8th International Colloquium Organized at the Katholieke Universiteit Leuven in May 1997, 1998 and 1999",Urbain Vermeulen,Peeters Publishers,2001,"This volume contains 24 papers, presented at the sixth, seventh and eighth Colloquium on the History of Egypt and Syria in the Fatimid, Ayyubid and Mamluk Eras, organized at the University of Leuven in May 1997, 1998 and 1999. The main purpose of these annual colloquia is to bring together an international body of scholars from different fields of research, around the central theme of Syro-Egypt's high and late medieval history. Resulting now in a third volume of this kind (volume I: OLA 73 - volume II: OLA 83), these proceedings again cover areas of research in the fields of medieval sociology, economy, archaeology, codicology, theology and administrative and political history, ranging from the 10th to the late 15th century AD. The individual contributions deal with a great number of topics, including Syro-Egyptian society and architecture, the Crusades, aspects of civil and military administration and organisation, role and value of pious endowments, and the intricacies of Syro-Egyptian politics.",494,History,en,9042909706,ayyubid
The Ayyubid Era. Art and Architecture in Medieval Syria,"Abd al-Razzaq Moaz, , , , , , , , , Yasser Tabbaa, Zina Takieddine, Verena Daiber, Dina Bakkour, Wa'al Hafian, Haytham Hasan, Balázs Mayor, Benjamin Michaudel","Museum With No Frontiers, MWNF (Museum Ohne Grenzen)",2015,"This new MWNF Travel Book was conceived not long before the war started. All texts refer to the pre-war situation and are our expression of hope that Syria, a land that witnessed the evolution of civilisation since the beginnings of human history, may soon become a place of peace and the driving force behind a new and peaceful beginning for the entire region. Bilad al-Sham testifies to a thorough and strategic programme of urban reconstruction and reunification during the 12th and 13th centuries. Amidst a period of fragmentation, visionary leadership came with the Atabeg Nur al-Din Zangi. He revived Syria’s cities as safe havens to restore order. His most agile Kurdish general, Salah al-Din (Saladin), assumed power after he died and unified Egypt and Sham into one force capable of re-conquering Jerusalem from the Crusaders. The Ayyubid Empire flourished and continued the policy of patronage. Though short-lived, this era held long-lasting resonance for the region. Its recognisable architectural aesthetic – austere, yet robust and perfected ‒ survived until modern times. The Ayyubid Era: Art and Architecture in Medieval Syria describes eight thematic Itineraries including, among others, the cities of Damascus, Bosra, Homs, Hama, Aleppo and Raqqa.",342,Art,en,9783902782175,ayyubid
"Egypt and Syria in the Fatimid, Ayyubid and Mamluk Eras IV Proceedings of the 9th and 10th International Colloquium Organized at the Katholieke Universiteit Leuven in May 2000 and May 2001","Urbain Vermeulen, J. van Steenbergen",Peeters Publishers,2005,"Each volume deals with a wide variety of scholarly subjects, all revolving around the central theme of Syro-Egypt's high and late medieval history. Topics dealt with include archaeology, architecture, codicology, economic, political, and religious history, as well as belles-lettres.",524,History,en,9042915242,ayyubid
"Coptic Identity and Ayyubid Politics in Egypt, 1218-1250",Kurt J. Werthmuller,American Univ in Cairo Press,2010,"Using the life and writings of Cyril III Ibn Laqlaq, 75th patriarch of the Coptic Orthodox Church, along with a variety of Christian and Muslim chroniclers, this study explores the identity and context of the Christian community of Egypt and its relations with the leadership of the Ayyubid dynasty in the early thirteenth century. Kurt Werthmuller introduces new scholarship that illuminates the varied relationships between medieval Christians of Egypt and their Muslim neighbors. Demonstrating that the Coptic community was neither passive nor static, the author discusses the active role played by the Copts in the formation and evolution of their own identity within the wider political and societal context of this period. In particular, he examines the boundaries between Copts and the wider Egyptian society in the Ayyubid period in three ""in-between spaces"": patriarchal authority, religious conversion, and monasticism.",212,History,en,9774163451,ayyubid
Ayyubid Metalwork with Christian Images,Eva Baer,BRILL,2023-12-21,"Muqarnas Supplements presents book-length historical examinations of primary sources on the arts, architecture, and material cultures of Islamicate lands, as well as occasional thematic conference proceedings and special edited volumes. Muqarnas is sponsored by The Aga Khan Program for Islamic Architecture at Harvard University and the Massachusetts Institute of Technology, Cambridge, Massachusetts. Related series: Muqarnas . The series published three volumes over the last 5 years.",131,Art,en,9789004660809,ayyubid
Ayyubid Jerusalem (1187-1250) An Architectural and Archaeological Study,Mahmoud Hawari,British Archaeological Reports Oxford Limited,2007,"A brief historical overview of the Ayyubid state, the major factors on which it was based, makes the first chapter. The sources of information utilised in this research are illustrated in the second chapter. Chapter three deals with Jerusalem in the political context of the Ayyubid state: the role Jerusalem played in the propagation of jihad against the Franks; the administrative and demographic changes introduced by the Ayyubids. Chapter four examines the architectural changes that were introduced by the Ayyubids, emphasising how political and socio- economic factors determined construction projects in the city. Chapter five constitutes the core of the book: a catalogue of the extant Ayyubid buildings in Jerusalem. These are grouped chronologically, with detailed architectural, archaeological and historical analysis, as well as interpretations of their structural evolution.",252,Architecture,en,,ayyubid
"The Sharafnama, Or, The History of the Kurdish Nation, 1597","Sharaf Khān Bidlīsī, Mehrdad R. Izady",Mazda Publishers,2005,"""In the pages of the Sharafnama are present the Kurdish nation, already unified 400 years ago within a common culture, national ethos, a defined homeland and an integrated history stretching into antiquity. In the text of this unique history the empires of the Kurds parallel those of the Arabs, Persians and Turks, some, according to Bitlisi, reaching back over 4,000 years. As the Kurds continue their arduous journey to regain their proper position as the fourth largest ethnic group in the greater Middle East, it is clear why the Sharafnama has gained the status of a national document and the locus classicus of Kurdish authenticity. The great prestige of the Sharafnama as a national history among the Kurdish literati and rulers has lasted for centuries. To gain the honor of being mentioned in the Sharafnama enticed later Kurdish dynasties to shuffle their own dynastic history into the pages of the book long after Bitlisi's death. Meanwhile, due to the pristine condition of its surviving manuscripts, the Sharafnama has and continues to serve as a primary resource to compare and correct the scribal errors found in other histories written in Persian language before 1597. The Sharafnama also contains invaluable information on the Kurds' neighboring peoples and dynasties who interacted with the Kurds, as well as the empires that emerged and weathered in the area.""",320,History,en,,ayyubid
"Excavations in Jerusalem, 1961-1967","A. D. Tushingham, John W. Hayes, British School of Archaeology in Jerusalem, Royal Ontario Museum",,1985,"""The publication of the final reports of the late Dame Kathleen Kenyon's excavations of ancient Jerusalem takes a significant step forward with the appearance of this volume. It concentrates on finds outside the walls of the Iron Age city, of which the most important are the enigmatic deposits in Caves I and II on the south-east hill. Itzhak Eshel's study provides a thorough comparative analysis of the large quantity of pottery found in them, as a basis for establishing their date and purpose. Supplementary studies of the pottery and other material from these caves, not least variations between the deposits found in them, throw further light on their function."" ""Among the varied information on extramural cemeteries assembled here, the late third millennium cemetery on the Mount of Olives, first discovered over a century ago, particularly adds to our knowledge of Jerusalem in antiquity.""--BOOK JACKET.Title Summary field provided by Blackwell North America, Inc. All Rights Reserved",646,History,en,,ayyubid
The Modern History of Jordan,Kamal S. Salibi,British Academic Press,1993-08-15,"Few states in the modern world have had a less promising birth than Jordan. Today against all the odds, it has become one of the most prosperous and stable of Middle Eastern countries and a major player in the region's politics. This book attempts to expla",312,History,en,,ayyubid
The Fall of Rome and the Rise of Constantinople,Zachary Anderson,"Cavendish Square Publishing, LLC",2015-07-15,"As the Roman Empire expanded, it became the target of barbarian attacks. After its collapse, the empire split, and a new empire, Constantinople (modern-day Turkey), rose in the east. Explore the history of Constantinople after the fall of Rome.",162,Juvenile Nonfiction,en,9781502605757,fall of rome
