keyword,title,abstract,creator,date,journal,doi,language
"vikings, viking","Vikings for a Day: St. Joseph's P.S., Poyntzpass",,,,"""Before I Forget..."": Journal of the Poyntzpass and District Local History Society",,
britannia,"""Britannia"": the Empire, Great Britain & Ireland, Home Rule ..",,,,"""Britannia"": the Empire, Great Britain & Ireland, Home Rule ..",,
abbasid,A Building and an Olive Press from the Byzantine–Abbasid Periods at Khirbat el-Thahiriya,,,,'Atiqot / עתיקות,,
umayyad,"A Byzantine Rural Complex with an Olive Press and an Umayyad Farmhouse on the Banks of Naḥal ‘Anava, Modi‘in - מתחם כפרי מהתקופה הביזנטית ובית חווה מהתקופה האומיית על גדות נחל ענבה, מודיעין",,,,'Atiqot / עתיקות,,
"umayyad, abbasid","A Church from the Byzantine, Umayyad and Abbasid Periods and Remains from Iron Age I at Ṭamra (ez-Zu'abiyya) in Ramat Issakhar",,,,'Atiqot / עתיקות,,
abbasid,"An Abbasid-Period Stone Mold with an Engraved Kufic Arabic Inscription from the Giv‘ati Parking Lot excavations, Jerusalem",,,,'Atiqot / עתיקות,,
umayyad,An Umayyad-Period Aqueduct for the Irrigation of Farmland South of Ramla,,,,'Atiqot / עתיקות,,
abbasid,"Archaeozoological Finds from the Abbasid Period, from Danny Massy Street, Ramla",,,,'Atiqot / עתיקות,,
umayyad,"Byzantine- and Umayyad-Period Structures near the Pools of ‘Ein el-Jarab, Ḥammat Gader - שרידי מבנים מהתקופות הביזנטית והאומיית בבריכות עין אל־ג'ראב, חמת גדר",,,,'Atiqot / עתיקות,,
abbasid,Glass Finds from the Abbasid and Mamluk Periods at Ramla,,,,'Atiqot / עתיקות,,
abbasid,"Glass Vessels from the Roman, Byzantine and Abbasid Periods at the French Hospital Compound, Yafo (Jaffa)",,,,'Atiqot / עתיקות,,
umayyad,Khirbat 'Adasa: A Farmstead of the Umayyad and Mamluk Periods in Northern Jerusalem,,,,'Atiqot / עתיקות,,
abbasid,Pottery and Stone Objects from the Abbasid–Fatimid Periods at Ramla,,,,'Atiqot / עתיקות,,
abbasid,Remains of Buildings and Installations from the Late Abbasid–Fatimid and Mamluk Periods in Ramla,,,,'Atiqot / עתיקות,,
umayyad,אמת המים האומיית לרמלה וממצאים אחרים סמוך לקיבוץ נען / The Umayyad Aqueduct to Ramla and Other Finds near Kibbutz Na'an,,,,'Atiqot / עתיקות,,
umayyad,בדיקות פטרוגרפיות של שרידי הטיח באמת המים האומיית לרמלה / Petrographic Examination of Plaster from the Umayyad Aqueduct to Ramla,,,,'Atiqot / עתיקות,,
abbasid,"בית קברות מהתקופה הפרסית ושרידים מהתקופות הרומית המאוחרת, הביזנטית, העבאסית והצלבנית במתחם בית החולים הצרפתי, יפו - A Cemetery from the Persian Period and Remains from the Late Roman, Byzantine, Abbasid and Crusader Periods at the French Hospital Compound, Yafo (Jaffa)",,,,'Atiqot / עתיקות,,
sasanian,דרהמים מן התקופות הססאנית המאוחרת והאסלאמית הקדומה בארץ ישראל / Finds of Late Sasanian and Early Muslim Drahms in Historical Palestine,,,,'Atiqot / עתיקות,,
constantine the great,כתובת הקיסר קונסטנטינוס שנמצאה בכפר מע'אר / An Inscription of Constantine the Great from Kafr Mghar,,,,'Atiqot / עתיקות,,
umayyad,מכלול כלי זכוכית מהתקופה האומיית ברמלה / An Umayyad Glass Assemblage from Ramla,,,,'Atiqot / עתיקות,,
abbasid,"ממצאי הזכוכית מהתקופות העבאסית—הפאטימית מרחוב דני מס, רמלה / Glass Finds from the Abbasid—Fatimid Periods on Danny Mass Street, Ramla",,,,'Atiqot / עתיקות,,
arthur,"Manufacturing industry on the Mornington Peninsula, ‘the successful plan at Arthurs Seat’",,,,"'I Succeeded Once': The Aboriginal Protectorate on the Mornington Peninsula, 1839-1840",,
arthur,"The abduction between Arthurs Seat and Point Nepean, and Yankee Yankee’s return",,,,"'I Succeeded Once': The Aboriginal Protectorate on the Mornington Peninsula, 1839-1840",,
samo,"14th PPSEAWA International Conference-Samoa, 1978, Item 001",,,,"14th PPSEAWA International Conference-Samoa, 1978, Item 001",,
samo,"14th PPSEAWA International Conference-Samoa, 1978, Item 002",,,,"14th PPSEAWA International Conference-Samoa, 1978, Item 002",,
arthur,Arthur Mendel (1905-79),,,,19th-Century Music,,
antes,"Book Review : Femmes en armes. Itinéraires de combattantes au Pérou (1980-2000), « Des Amériques »",,,,20 & 21. Revue d'histoire,,
arthur,"Book Review : Les Autres et les Ancêtres. Les dioramas de Franz Boas et d’Arthur C. Parker à New York, 1900, « Œuvres en sociétés »",,,,20 & 21. Revue d'histoire,,
samo,Book Review : Split 1980-ih. Društveni sukobi u sutonu samoupravnoga socijalizma,,,,20 & 21. Revue d'histoire,,
arianism,2018 Elections in Iraq: Reactionary Sectarianism vs Reformist Nationalism,,,,2018 Elections in Iraq: Reactionary Sectarianism vs Reformist Nationalism,,
arianism,Reactionary Sectarianism,,,,2018 Elections in Iraq: Reactionary Sectarianism vs Reformist Nationalism,,
arthur,"A British protectorate in Fiji: speech of Mr. Alderman McArthur, M.P., in the House of Commons, on Tuesday June 25, 1872.",,,,"A British protectorate in Fiji: speech of Mr. Alderman McArthur, M.P., in the House of Commons, on Tuesday June 25, 1872.",,
anglo-saxon,A Corpus of Anglo-Saxon and Medieval Pottery from Lincoln,,,,A Corpus of Anglo-Saxon and Medieval Pottery from Lincoln,,
arthur,In the Closet of Sir Arthur Conan Doyle,,,,A Foreign Affair: Billy Wilder's American Films,,
arianism,The Pro-Western Authoritarianism of Kamil Sham`un (1952–1958),,,,A History of Modern Lebanon,,
teke,"Sociability and gatekeeping, 1770–1800",,,,"A History of Scientific Journals: Publishing at the Royal Society, 1665-2015",,
arianism,A Mouse in a Cage: Rethinking Humanitarianism and the Rights of Lab Animals,,,,A Mouse in a Cage: Rethinking Humanitarianism and the Rights of Lab Animals,,
samo,SAMOA,,,,A Pacific disaster prevention review,,
arianism,"POPULISM, AUTHORITARIANISM, VOTE CHOICE AND DEMOCRACY",,,,A Populist Exception?: The 2017 New Zealand General Election,,
antes,Introdução ao Estudo da Formação Moral dos Estudantes de Medicina,,,,A formação ética dos médicos: saindo da adolescência com a vida (dos outros) nas mãos,,
antes,Os Estudantes de Medicina e seus Valores,,,,A formação ética dos médicos: saindo da adolescência com a vida (dos outros) nas mãos,,
anglo-saxon,"A history and description of the late Houses of Parliament and ancient palatial edifices of Westminster: including a particular account of those buildings, from the Anglo-Saxon dynasty to the final arrangement of the national, parliamentary, and legal courts, at the same place",,,,"A history and description of the late Houses of Parliament and ancient palatial edifices of Westminster: including a particular account of those buildings, from the Anglo-Saxon dynasty to the final arrangement of the national, parliamentary, and legal courts, at the same place",,
arthur,A letter to Colonel Arthur Cotton: upon the introduction of railways in India upon the English plan,,,,A letter to Colonel Arthur Cotton: upon the introduction of railways in India upon the English plan,,
angles,A letter to R.D. Mangles ...in defence of the liberty of the press in India,,,,A letter to R.D. Mangles ...in defence of the liberty of the press in India,,
arianism,"A letter to a friend, in reply to the question, What is vegetarianism?",,,,"A letter to a friend, in reply to the question, What is vegetarianism?",,
arthur,"A letter to the Rev. Arthur Fane, vicar of Warminster: containing strictures on his letter to the Right Honorable Lord Heytesbury, and a statement of facts connected with his refusal to read the burial service at the interment of a pauper, who was a dissenter.",,,,"A letter to the Rev. Arthur Fane, vicar of Warminster: containing strictures on his letter to the Right Honorable Lord Heytesbury, and a statement of facts connected with his refusal to read the burial service at the interment of a pauper, who was a dissenter.",,
old english,A plain statement of the currency question: with reasons why we should restore the old English law of bimetallism,,,,A plain statement of the currency question: with reasons why we should restore the old English law of bimetallism,,
saka,A STRATIGRAPHY OF LUSAKA,,,,AA Files,,
arthur,Book Review : St Paul's: The Cathedral Church of London 604-2004 Derek Keene Arthur Burns Andrew Saint,,,,AA Files,,
teke,Gaudí's Gatekeeper,,,,AA Files,,
antes,Nantes Notes,,,,AA Files,,
saka,OSAKA FOLLIES,,,,AA Files,,
saka,THE KYOTO ORIGINS OF NON-CONCEPTUAL FORM / URBANISM AND IMMORTALITY IN OSAKA,,,,AA Files,,
old english,"ASSUMPTIONS IN THE ESTABLISHMENT OF OLD ENGLISH POETIC TEXTS: P.J. LUCAS'S EDITION OF ""EXODUS""",,,,AAA: Arbeiten aus Anglistik und Amerikanistik,,
beowulf,Book Review : A History of English Laughter. Laughter from Beowulf to Beckett and Beyond Manfred Pfister,,,,AAA: Arbeiten aus Anglistik und Amerikanistik,,
beowulf,Book Review : Beowulfes Beorh. Das altenglische Heldenepos als kultureller Gedächtnisspeicher (Anglistische For schungen 410) Matthias Eitelmann,,,,AAA: Arbeiten aus Anglistik und Amerikanistik,,
arthur,Book Review : Language Contact in the History of English Dieter Kastovsky Arthur Mettinger,,,,AAA: Arbeiten aus Anglistik und Amerikanistik,,
angles,"Book Review : Untersuchungen zur Symbolik in den Kurzgeschichten William Faulkners. (Europäische Hochschulschriften: Reihe 14, anglesächsische Sprache und Literatur; Band 112) Carin Freywald",,,,AAA: Arbeiten aus Anglistik und Amerikanistik,,
old english,ON THE INTERRELATIONSHIPS OF THE OLD ENGLISH PSALTER-GLOSSES,,,,AAA: Arbeiten aus Anglistik und Amerikanistik,,
arthur,An Odyssey in Search for Justice: The Case of Dr. Arthur J. Kraus,,,,AAUP Bulletin,,
arthur,Book Review : A Constant Variable Arthur M. Cohen and Associates,,,,AAUP Bulletin,,
arthur,Book Review : A Synoptic Philosophy of Education Arthur W. Munk,,,,AAUP Bulletin,,
arthur,Book Review : And Merely Teach: Irreverent Essays the Mythology of Education Arthur H. Lean,,,,AAUP Bulletin,,
arthur,Book Review : Crises in California Higher Education Arthur G. Coons,,,,AAUP Bulletin,,
arthur,Book Review : Dimensions of Academic Freedom Walter P. Metzger Sanford H. Kadish Arthur DeBardeleben Edward J. Bloustein,,,,AAUP Bulletin,,
arthur,Book Review : The Academic Deanship in American Colleges and Universities Arthur J. Dibden,,,,AAUP Bulletin,,
arthur,Book Review : The Brass Factories J. Arthur Heise,,,,AAUP Bulletin,,
cuman,Leucocytozoonosis in Crested Oropendolas (Psaracolius decumanus),,,,AAV Today,,
arthur,Book Review : Court Awarded Attorney Fees Mary Frances Derfner Arthur D. Wolf,,,,ABA Journal,,
danes,Into Africa: Encounters with Sudanese colleagues prove moving for U.S. lawyers at Litigation Section program,,,,ABA Journal,,
teke,Judges' Gatekeeper Role Expanded: Businesses say justices' ruling will help keep junk science out of court,,,,ABA Journal,,
arthur,Justice for the Workingman: Arthur Goldberg loved the Court—but made his mark in the labor movement,,,,ABA Journal,,
picts,Med-Maelstrom: Tale of one couple's malpractice lawsuit depicts the destructive nature of modern litigation process,,,,ABA Journal,,
arthur,OF MOTIVES AND MEMOS: Supreme Court Will Hear the Tale of Arthur Andersen's Fall,,,,ABA Journal,,
old english,"Taking a Page From History: Old English, colonial law revisited in pot scanning, warrantless arrest cases",,,,ABA Journal,,
antes,"The HACKTIVISTS: WEB VIGILANTES NET ATTENTION, OUTRAGE AND ACCESS TO YOUR DATA",,,,ABA Journal,,
arianism,The Moralist View: Essayist finds egalitarianism to be the basis of the Constitution,,,,ABA Journal,,
teke,WASHINGTON REPORT: GATEKEEPER'S BURDEN: Money Laundering Proposals Raise Concerns About Attorney-Client Privilege,,,,ABA Journal,,
arianism,"AFRICOM’S DILEMMA: THE “GLOBAL WAR ON TERRORISM,” “CAPACITY BUILDING,” HUMANITARIANISM, AND THE FUTURE OF U.S. SECURITY POLICY IN AFRICA",,,,"AFRICOM’S DILEMMA: THE “GLOBAL WAR ON TERRORISM,” “CAPACITY BUILDING,” HUMANITARIANISM, AND THE FUTURE OF U.S. SECURITY POLICY IN AFRICA",,
magyars,"""Abandon Your Role as Exponents of the Magyars"": Contested Jewish Loyalty in Interwar (Czecho) Slovakia",,,,AJS Review,,
late antiquity,Book Review : A Corpus of Magic Bowls: Incantation Texts in Jewish Aramaic from Late Antiquity Dan Levene,,,,AJS Review,,
arianism,Book Review : Beyond Sectarianism: The Realignment of American Orthodox Judaism Adam S. Ferziger,,,,AJS Review,,
teke,"Book Review : Ha-tekes she-lo haya: mikdash, midrash u-migdar be-masekhet Sotah [The Rite That Was Not: Temple, Midrash and Gender in Tractate Sotah] Ishay Rosen-Zvi",,,,AJS Review,,
late antiquity,Book Review : Hebrew Poetry from Late Antiquity: Liturgical Poems of Yehudah; Critical Edition with Introduction and Commentary W. J. van Bekkum,,,,AJS Review,,
arthur,Book Review : Maimonides and the Hermeneutics of Concealment: Deciphering Scripture and Midrash in the Guide of the Perplexed James Arthur Diamond,,,,AJS Review,,
late antiquity,"Book Review : Power, Ethics, and Ecology in Jewish Late Antiquity: Rabbinic Responses to Drought and Disaster Julia Watts Belser",,,,AJS Review,,
late antiquity,Book Review : Remains of the Jews: The Holy Land and Christian Empire in Late Antiquity Andrew S. Jacobs,,,,AJS Review,,
