keywords,title,creator,abstract,year,journal_title,license,link,query
ayyubid,II. Gıyaseddin Keyhüsrev Döneminde Türkiye Selçuklu Devleti İle Eyyûbîler Arasındaki İlişkiler,YASEMİN AKTAŞ,"The first meetings between Turkey Seljuk State Sultan Giyaseddin Keyhusrev II and Ayyubid kings were hold as soon as he came to the throne and an agreement of amity was made. Next, a kinship was established by making a marriage to Ayyubid queen on the purpose of maintaining an affable relationship between two states. Besides, Seljuk State helped the Ayyubid kings in the face of Turkmen and Khwarezm attacks although he sometimes took opposite side with them in the dispute between Ayyubid kings. Similarly, he requested for help from Ayyubid kings when necessary as in the case of the Meyyafarikin siege. Though there were periods in which the relations between the two states maintained, it could show an alteration depending on the existing conditions and states interests. The defeat of Kosedag in 1243 became the end of the relationship between Seljuk State and Ayyubids.",2015.0,,OPEN,https://doi.org/10.17719/jisr.20153913747,ayyubid
ayyubid,The Ayyubids in Yemen: Their Political History from (569 AH-626 AH) (1174-1226 AD),Mahmood AlTikreety,"The Ayyubid state became able, during the reign of its king, Salah al-Din, to exercise political rule in Yemen, as this state was able to subordinate Yemen to its influence since the year 569 AH / 1174 CE. Where the major role belongs to King Turanshah bin Ayyub in imposing such control, but the death of this king is bad in 576 AH / 1180 CE. He allowed his deputies from among the Ayyubid princes to move towards independence from the state of Saladin in Egypt and the Levant. The transitional circumstances in which the Ayyubid state in Egypt and the Levant had a great impact on that move, which ended in the outbreak of the dispute between the Emirs, the speech of (Hattan) bin Mubarak bin Munqith al-Kanani, the governor of Zabid - and Prince Izz al-Din bin Othman al-Zanjili - the governor of Aden - as this reflected a general print Everyone has about the weakness of Ayyubid rule in Yemen: It also resulted in Salah al-Din Ibn Yusuf, the owner of Egypt and the Levant, realizing the seriousness of what that political situation in Yemen had with regard to Ayyubid rule, and as mentioned in the historical sources about Salah al-Din’s fear that Yemen would come out of his rule, and for this he was all sent His Mamluk Khattab (Khattag Ay) at the head of a military campaign to Yemen and as soon as he arrived until the political conditions in it stabilized, Khattab died, leaving the rule of Yemen, thus clearing the way for Prince bin Hattan al-Kinani, and Izz al-Din al-Zanjili to return to their state, and the dispute between them again intensified and the strife intensified In Yemen, and as soon as news of Yemen leaked to Salah al-Din, out of his concern for the stability of the political situation. And the elimination of sedition initiated a military campaign that left its leadership to his brother King Saif al-Islam Tughtakin at the end of the year 7 AH / AD 1131, in order for Yemen to return to it in 578 AH / 1182 CE to the Ayyubid rule.",1980.0,,OPEN,,ayyubid
ayyubid,Endowments and their spending on schools in Egypt in the Ayyubid. Era,Juman Eid Juman,"The Ayyubid era in Egypt witnessed a scientific renaissance in various aspects, and it was necessary to secure resources for the continuation of that renaissance, and from here the endowment system was of great importance in most periods of the Ayyubid era, as it represented the backbone of spending on education, and endowments were allocated in various areas, so endowments were allocated to All scientific and jurisprudential schools and those in charge of them and take care of their needs, which ensured for them the continuity in the performance of their function and scientific mission.Therefore, it was imperative to provide a continuous resource for spending on these schools to fulfill their scientific and political role that is entrusted to them. Therefore, we will focus on endowments, especially as they are the main resource for these schools, and then highlight the other resources that are confined to things such as: gifts, subsidies, and alms, the tenders of the sultans and rulers, special wages, legal zakat and spoils.",2021.0,,OPEN,,ayyubid
ayyubid,Manifestations of unity and diversity between the Ayyubid and Mamluk states - Islamic buildings as a model,null Muhammad Mahmoud Taha; null Fayez Ali Bakhit,,2022.0,,OPEN,https://doi.org/10.33899/berj.2022.176451,ayyubid
ayyubid,Scientific and literary activity in the era of the Ayyubid family,Nazim Rashed,"Salah al-Din al-Ayyubi reigned Egypt in the year sixty-seven and five hundred, after which he controlled an important and vital region, which is the Levant, the Hijaz, Yemen and part of the countries of Asia Minor, and after his death it remained in the hands of his sons and relatives until the year forty eight and six hundred. The era of the Bani Ayyub was an era of revival of Islamic and Arab thought and culture, just as the era of political revival was represented by the expulsion of the Crusaders from Jerusalem and their expulsion from Egypt and the Levantine coasts after the Franks occupied them for more than a hundred years. The studies in the Ayyubid era focused on the military aspects, and the researchers dealt with the brightest poets, writers and scholars of this era without paying attention to the Ayyubid family itself, the writers and scholars in it, and the great works they have done in the field of science and literature. The family is one of the efforts in the field of authorship, founding libraries, the influence of poetry on its souls, its literary councils, its correspondence, and the most important poetry of it and its book.",1977.0,,OPEN,,ayyubid
ayyubid,Education under the rule of the Zangid and Ayyubid states in the Levant,Nazim Rasheed,"The Abbasid state weakened during its last days, neglect and disintegration, which led to the separation of parts of it. It has nothing to do with the sovereignty of Baghdad except for formal appearances, as it has its own administrations and its independent military and cultural affairs. Among the largest of these countries in the Levantine lands were the Zangid and Ayyubid states, which had a major role in pushing the wheel of knowledge and knowledge to far stages of sophistication and antiquity, despite the violent conflict with the Crusader West and the Tatar East. The intellectual movement flourished in the era of the Zankites, especially during the reign of Nur al-Din Mahmud (d. 569), who was one of their greatest kings, and he was a lover of science and scholars, literature and writers, and from his passion for the world, he constantly gathered scholars in his council and consulted them in matters of his religion and world, surrounded them with his care and his graces, and prepared them for them The appropriate climate for their livelihood and work is considered to be the first for scholars in Islamic history. Among the famous jurists who came to him, Qutb Al-Nisaburi (d. 568). Abu Shama al-Maqdisi says: Nur al-Din interpreted it, took it to Aleppo at Bab al-Iraq school, and built a large school for Shafi’i for his credit. The intellectual movement became more active during the Ayyubid era. Saladin Ibn Yusuf Ibn Ayyub (d.589) was the founder of the Ayyubid state and conqueror of the Crusaders in the fiercest battles and savior of Al-Quds Al-Sharif from the evils of the fiercest and aggressive group. His court gathered a multitude of scholars and writers, such as the virtuous judge, Ibn Shaddad al-Qadi and Imad al-Din al-Katib, and did not meet - as Ibn al-Adim says - at the door of one of the kings after Saif al-Dawla bin Hammadan, he did not meet at his door, and added to Saif al-Dawla in love, favor and giving. A large number of the Ayyubid family emerged in composing poetry, writing and classifying books on the one hand, building schools and taking care of their men, establishing libraries, and accompanying scholars and writers on the other hand, and they are as the poet said: If you receive them you will meet their master like the stars with which the sari rests In our research, we will highlight the impact of the two Ayyubid Zankid dynasties on education, and the great work they have carried out in serving knowledge and spreading knowledge.",1979.0,,OPEN,,ayyubid
ayyubid,أسطورة النسر ورمزیته فی ضوء قطعة خزفیة جدیدة من حفائر مدینة الفسطاط,Dr. Mamdouh Mohamed Elsayed ,"This Research aim to study a new Chinese Celadon Sherd which discovered in Excavation of Fustat Area 2008-2009, try to date this Sherd which decorated by Eagle, which spread in Architecture and Arts of Ayyubid and Mamluk Period, The Eagle decoration had taken as a motto by many princes of ayyubid and Mamluk Period, The views about assigning of this Sherd was swung between the two eras, but the biggest weighting was favor to the Ayyubid period as we will see, especially the Era of As-Sultan Al-Kamel Mohamed who also took the Eagle as an Emblem for him, depending on the striking similarity between the implementation of Eagle Decoration on this Sherd, and the same decoration which carried out at the two Tiles held by the Museum of the Korra-Taye in Konia, back to the reign of the Seljuk Sultan Alaa-eddin Kikabbad, who also took the Eagle as an Emblem for him, this period which parallel the same period of the Rule reign of As-Sultan Al-Kamel Mohammed, and thus we could to assign this Sherd to the Rule of Chinese Song Dynasty, Not to the Rule of the Yuan Dynasty.",2017.0,Crossref,OPEN,https://doaj.org/article/e4fc525b8f1a4471909e7db910852bc7,ayyubid
ayyubid,History of Islamic Civilization in the Ayyubiyah Dynasty (1171-1250 AD),Zulfi Mubaraq; Nurul Fawzani; Ibnu Hajar; Khairul Mizan,"Islamic civilization during the Ayyubid dynasty is very important to study, especially the development of Sunni because Sunni is a form of school that became Shalahuddin's first policy to replace Shia at that time. This paper aims to discuss concrete forms of Sunni development during the Ayyubid dynasty, factors of Sunni development, and the impacts of its development. The type of research used was library research, the data were obtained from previous literature so that data collection technique used was documentation. This study found, first, the form of Sunni development began with the change of schools of thought from Shia to Sunni, the incessant development of madrasas, the prohibition on using books left by the Fatimids and the elimination of the sentence Hayya Ála Khairi Amal at the call to prayer; second, Sunni development was caused by internal factors such as the founding of the Ayyubid dynasty and Shalahuddin's Sunni background. Apart from these factors, Sunni development was also caused by external factors, namely, the majority of the world's Muslims are Sunnis and the dualism of the Shiites in Egypt; and third, the impact of Sunni developments on education, in which many madrassas were built and the reactivation of the Azhar mosque into a Sunni-based university.",2023.0,,OPEN,https://doi.org/10.21093/fj.v15i1.5652,ayyubid
ayyubid,Call to Arms,"Bruning, J.","This article offers an edition, translation, and study of a hitherto unknown text about Ayyubid or early Mamluk Alexandria. The author, one Abū Khuzayma Muḥammad b. ʿAbd al-Wahhāb, gives a short yet rich description of the city based as much on Alexandria’s real cityscape as on legends. The text treats famous monuments, such as the city’s lighthouse and the Column of the Pillars, as well as less well-known buildings, such as mosques, colleges, watchtowers, and gates. An analysis of the account leads to the conclusion that its author wrote the account in order to mobilize Muslims for the defense of the city against Frankish or Byzantine attacks on Alexandria or Egypt’s Mediterranean coast in general.",2020.0,,OPEN,https://hdl.handle.net/1887/3134472,ayyubid
ayyubid,دور المجاورین فى بنیة مکتبات مکة المکرمة خلال العصر الایوبى:دراسة تاریخیة,,"The Present study employs the historical approach to identify therole of Al-Mujawirin in the construction of Mecca's libraries during theAyyubid Period. The study consists of an introduction, two sections, and aconclusion. The introduction presents the methodological framework of thestudy. The first section deals with the characteristics of Al-Mujawirin inMecca during the Ayyubid Period in general in terms of their numbers,categories, countries, and the period of their settlement in Mecca. Thesecond section focuses on the roles of Al-Mujawirin in the construction ofMecca's libraries during the Ayyubid Period, listing these Mujawirin andhighlighting their roles. The conclusion includes the findings reached andthe recommendations made by the researcher. Among the most importantof these findings is that the number of Al-Mujawirin in Mecca during theAyyubid Period was 158, 30 of them (about 19%) had a role in theconstruction of Mecca's libraries during the Ayyubid Period. This role isrepresented in the contribution of 22 of these Mujawirin (13.9%) insupporting the book markets in Mecca with their books. These books wereused to supply its public and private libraries with books. On the otherhand, six Mujawirin (3.8) practiced the papermaking profession, fourMujawirin (2.5%) established their own private libraries, and three others(1.9%) devoted their books exclusively to other libraries",2016.0,,OPEN,,ayyubid
